기업명,설립연차_지울거,기업규모,설립연도,업종,본사_주소,최저_연봉,최고_연봉,평균_연봉,년도,
에이엠(주),업력 25년차,중소기업,2001년 5월 4일 설립,기타 무선 통신장비 제조업,"경기 과천시 과천대로7가길 20, 제에이 (갈현동,프리즘스퀘어1)","3,688만원","7,854만원","7,177만원",2001년,"대기업, 종견, 중소, 공공기관"
대상정보기술(주),업력 35년차,중견기업,1991년 7월 5일 설립,응용 소프트웨어 개발 및 공급업,"서울 광진구 천호대로 549, 8층, 9층",,,,1991년,"시도, 군구로 구별"
(주)티오에스코리아,,중소기업,2004년 7월 20일,근로자파견사업 / HR컨설팅 / 업무도급 및 위탁 / 헤드헌팅 / 채용대행,서울시 영등포구,"2,364만원","4,574만원","3,225만원",2004년,설립일자만
(주)신한저축은행,업력 14년차,중소기업,2012년 11월 6일 설립,상호저축은행 및 기타 저축기관,서울 중구 청계천로 54,"4,387만원","9,885만원","8,822만원",2012년,기업구분 -> 파견
(주)에이치에스씨엠티,업력 22년차,중소기업,2004년 10월 26일 설립,"물질 검사, 측정 및 분석기구 제조업","경기 용인시 기흥구 동백중앙로16번길 16-25, 103호 (중동,대우프론티어밸리1차)","3,478만원","7,434만원","6,356만원",2004년,서울전체 -> 서울특별시
(주)수산아이앤티,업력 28년차,중소기업,1998년 3월 3일 설립,응용 소프트웨어 개발 및 공급업,서울 강남구 밤고개로5길 (서울 강남구 수서동),,,,1998년,전구 -> 기타
(주)서울커뮤니케이션,,중소기업,1994년02월02일,"근로자 파견,고용 알선,미화,사무 관리",경기 과천시 관문로,,,,1994년,
주식회사 휴비즈,,중소기업,2017년 11월 1일,시스템 소프트웨어 개발 및 공급업,서울 성동구 성수동,"2,808만원","6,569만원","4,299만원",2017년,
(주)코리아인,업력 18년차,중소기업,2008년 10월 2일 설립,상용 인력 공급 및 인사관리 서비스업,"서울 금천구 가산디지털1로 83, 205호","2,454만원","4,611만원","3,278만원",2008년,
SK텔레콤(주),,대기업,1984년03월29일,"지주회사/시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",서울 중구 을지로,"6,187만원","14,769만원","15,136만원",1984년,
한국평가데이터(주),업력 21년차,중소기업,2005년 2월 22일 설립,데이터베이스 및 온라인정보 제공업,서울 영등포구 의사당대로 21,"4,478만원","10,468만원","8,750만원",2005년,
(주)한국갤럽조사연구소,업력 52년차,중소기업,1974년 6월 17일 설립,시장조사 및 여론조사업,서울 종로구 사직로 70,"3,069만원","7,386만원","5,322만원",1974년,
에이스휴먼파워(주),업력 24년차,중소기업,2002년 11월 29일 설립,상용 인력 공급 및 인사관리 서비스업,"서울 서초구 서초중앙로12길 7, 2층 (서초동,도체오빌딩)","2,512만원","4,715만원","3,449만원",2002년,
(주)인텔리빅스,업력 26년차,중소기업,2000년 6월 13일 설립,응용 소프트웨어 개발 및 공급업,서울 서초구 효령로34길 (서울 서초구 방배동),"3,223만원","7,374만원","5,853만원",2000년,
엔에이치투자증권(주),업력 57년차,대기업,1969년 1월 16일 설립,증권 중개업,서울 영등포구 여의대로 108,"6,185만원","14,238만원","13,796만원",1969년,
넛지헬스케어(주),,중소기업,2016년 07월 27일,"소프트웨어 개발,공급,모바일 광고,광고,광고 대행/전자상거래/부동산 임대",서울 강남구 역삼로,"2,763만원","5,943만원","3,818만원",2016년,
(주)중외정보기술,업력 27년차,중소기업,1999년 11월 15일 설립,응용 소프트웨어 개발 및 공급업,"경기 과천시 과천대로7나길 60, C동 303호 (갈현동,과천어반허브)",,,,1999년,
웨이즈원(주),업력 11년차,중소기업,2015년 12월 22일 설립,응용 소프트웨어 개발 및 공급업,"경기 의왕시 이미로 40, D동 521호 (포일동,인덕원아이티밸리)","2,987만원","6,696만원","5,139만원",2015년,
주식회사 대륜,업력 5년차,중소기업,2021년 3월 3일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"서울 영등포구 여의대로 24, 21층",,,,2021년,
(주)씨아이템프러리,업력 23년차,중소기업,2003년 2월 19일 설립,고용 알선업,"서울 영등포구 경인로 775, 3동 305호 (문래동3가,에이스하이테크시티)","2,555만원","5,201만원","4,002만원",2003년,
(주)엔씨아이티에스,,중견기업,1996년10월26일,응용 소프트웨어 개발 및 공급업,경기 성남시 분당구,"3,691만원","8,161만원","7,329만원",1996년,
하나증권(주),업력 49년차,대기업,1977년 1월 18일 설립,증권 중개업,서울 영등포구 의사당대로 82,"4,661만원","11,478만원","9,147만원",1977년,
(주)한맥아이피에스,,중소기업,2003년09월02일,교통 신호장치 제조업,대구 수성구 알파시티,,,,2003년,
(주)헥토이노베이션,업력 17년차,중견기업,2009년 3월 19일 설립,그 외 기타 정보 서비스업,"서울 강남구 테헤란로34길 6, 13층",,,,2009년,
(주)사람인에이치에스,업력 10년차,중견기업,2016년 5월 2일 설립,임시 및 일용 인력 공급업,"서울 구로구 디지털로34길 43, 6층 601호 (구로동,코오롱싸이언스밸리1차)","2,562만원","4,915만원","3,589만원",2016년,
동호에이치알(주),,중소기업,2010년 3월 25일,"용역, 인력알선",서울특별시 강남구 논현로,"2,577만원","4,964만원","3,650만원",2010년,
티맵모빌리티(주),,대기업,2020년12월30일,데이터베이스 및 온라인정보 제공업,서울 중구 삼일대로,"4,492만원","9,636만원","9,119만원",2020년,
(주)컬리넥스트마일,업력 7년차,중소기업,2019년 2월 11일 설립,택배업,"서울 송파구 송파대로 55, A동 701호","3,142만원","6,599만원","5,464만원",2019년,
(주)앰진,,중소기업,2021년06월13일컴퓨터시스템 통합 자문 및 구축 서비스업,,서울 송파구 정의로,"3,105만원","7,175만원","5,390만원",2021년,
(주)마크클라우드,,중소기업,2019년12월02일,응용 소프트웨어 개발 및 공급업,서울 강남구 테헤란로,"2,797만원","6,348만원","4,428만원",2019년,
한국피앤지(유),업력 34년차,중소기업,1992년 5월 4일 설립,일반 창고업,충남 천안시 서북구 성거읍 천흥8길 73,"5,138만원","9,308만원","9,883만원",1992년,
(사)한국아이씨티에이아이기술협회,업력 10년차,기타,2016년 6월 16일 설립,기타 기술 및 직업훈련학원,"서울 마포구 백범로 23, 3층, 지하1층 7호, 9호","3,028만원","5,655만원","4,624만원",2016년,
(주)비하베스트,업력 8년차,중소기업,2018년 3월 8일 설립,시스템 소프트웨어 개발 및 공급업,"서울 강남구 논현로 748, 3층 (논현동,세화빌딩)","3,601만원","7,972만원","6,459만원",2018년,
(주)엠제이코리아,업력 22년차,중소기업,2004년 5월 27일 설립,임시 및 일용 인력 공급업,"인천 서구 차오름로 27, 4층, 5층","2,824만원","5,799만원","4,268만원",2004년,
전국렌터카공제조합,,중소기업,2012년11월15일,전국렌터카 사업자의 자동차공제(보험) 계약 및 보상업무사업,서울특별시 광진구 아차산로,"4,320만원","10,156만원","8,213만원",2012년,
