기업명,기업공고,지원방법,직업 관련,지역,경력,학위,정규직 유무
넛지헬스케어(주),[넛지헬스케어]데이터분석가- 석사/박사,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",서울강남구,경력무관,석사↑,정규직
(주)퍼플아카데미,데이터분석가신입/경력 채용,점핏에서 지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",서울전체,신입·경력,대졸↑,정규직
(주)싸인랩,[데이터분석]데이터분석가채용 공고,입사지원,"데이터분석가, 머신러닝, 딥러닝, 데이터마이닝, 데이터라벨링",부산부산진구,경력무관,학력무관,정규직
(주)라이브케어,[데이터분석가] 가축 생체데이터 분석 및 AI 개발 전,입사지원,"데이터분석가, 빅데이터, 축산",서울강남구,신입,학력무관,정규직
신한전자기기,[데이터분석가] 데이터 분석 역량 갖춘 분 모집,입사지원,"데이터분석가, 데이터엔지니어, 머신러닝, 딥러닝, 웹개발",부산사하구,경력무관,학력무관,정규직
한패스(주),[한패스(주)/데이터분석팀] Google Analytics데이터분석가,입사지원,"데이터분석가, 데이터분석, 데이터 사이언티스트, 비금융지주회사",서울성동구,경력,대졸↑,정규직
주식회사아이노브(IKrowVCorp.),의료 통계/데이터분석가모집,입사지원,"데이터분석가, 데이터마이닝, 데이터분석, 소프트웨어개발",강원춘천시,경력2년↑,석사↑,정규직·계약직
글로벌라이트진(GlobalLightJin),[데이터분석가] S/W 개발전기 ·전자 기본 경력직 모,입사지원,"데이터분석가, 보안관제, 회로설계",경기안성시,신입·경력,학력무관,계약직
HR컨설팅(주),유통대기업데이터분석가책임 8-12년,입사지원,"데이터분석가, 데이터분석, 대형마트",서울강남구,경력 4~20년,대졸↑,정규직
쓰리핸즈(3Handz),[데이터분석가] 전자제품 1위 유통 대기업,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 헤드헌팅",서울강남구,경력 3~12년,대졸↑,정규직
(주)한스네트워크,[데이터분석가] 자동차 운행데이터 기반 경력직 채용,입사지원,"데이터분석가, 데이터엔지니어, 머신러닝, 딥러닝, 데이터 사이언티스트",경기수원시 권선구,경력 2~5년,학력무관,정규직
(주)아이트럭,IMC마케팅팀장(퍼포먼스마케터 및데이터분석가),입사지원,"마케팅기획, 마케팅전략, 바이럴마케팅, 브랜드마케팅, SI·시스템통합",서울서초구,경력 7~12년,대졸↑,정규직
주식회사 세계입찰,데이터분석가경력(8~10년) 채용,점핏에서 지원,"빅데이터, Python, 데이터시각화, 데이터마이닝, DBA",경기부천시,경력 8~10년,초대졸↑,정규직
주식회사 세계입찰,데이터분석가경력(11~13년) 채용,점핏에서 지원,"빅데이터, Python, 데이터시각화, 데이터마이닝, DBA",경기부천시,경력 11~13년,초대졸↑,정규직
주식회사 세계입찰,데이터분석가경력(5~7년) 채용,점핏에서 지원,"빅데이터, Python, 데이터시각화, 데이터마이닝, DBA",경기부천시,경력 5~7년,초대졸↑,정규직
바탕에비뉴(주),빅데이터 분석가 모집(신입/경력),입사지원,"데이터분석가, SI·시스템통합, 솔루션업체, 소프트웨어개발",서울구로구,신입·경력,대졸↑,정규직
메가존클라우드(주),데이터 분석가 채용,홈페이지 지원,"데이터분석가, 데이터엔지니어, 빌링, 클라우드, 데이터분석",서울강남구,경력무관,학력무관,정규직
어니컴(주),[어니컴(주)] 데이터 분석가 신입/경력 모집,입사지원,"데이터분석가, 빅데이터, Python, AI(인공지능), R",서울용산구,경력무관,대졸↑,정규직
(주)밸류어블,데이터 통계 분석가 모집 (통계 관련 전공자 우대),입사지원,"데이터분석가, 빅데이터, 데이터마이닝, 데이터라벨링, 자료조사",서울서초구,경력무관,초대졸↑,정규직
(주)한샘,[한샘] 데이터 분석가,홈페이지 지원,"데이터분석가, 판매, 가구·침구·소품",서울마포구,경력무관,초대졸↑,정규직
(주)쿡앱스,[쿡앱스] 데이터 분석가 (전문연구요원) 모집,홈페이지 지원,"데이터분석가, 데이터분석, 게임개발, 게임기획·마케팅, 게임",경기성남시 분당구,신입,학력무관,정규직
바탕에비뉴(주),Python 솔루션 개발자/빅데이터 분석가/Java 개발자 채용,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, Python",서울금천구,경력,대졸↑,정규직
(주)기어세컨드,[기어세컨드] 데이터 분석가 채용,홈페이지 지원,"데이터분석가, 빅데이터, 데이터엔지니어, 데이터시각화, 데이터분석",서울마포구,경력무관,학력무관,정규직
(주)히어로웍스,데이터/AI 기획 및 분석가(신입/경력) 모집,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",부산해운대구,신입·경력,초대졸↑,정규직
스포츠투아이(주),[스포츠투아이] 데이터 분석가 경력직 채용 공고,입사지원,"데이터분석가, 기술지원, 네트워크, 인프라, 클라우드",경기성남시 분당구,경력 3~10년,대졸↑,정규직
서울대학교병원,서울대학교병원 생체신호 머신러닝/데이터분석 연구원 채용,입사지원,"AI(인공지능), AI(인공지능), 종합병원",서울종로구,경력무관,대졸↑,무기계약직·계약직
네오폰스(주),생성형 AI 및 멀티모달 데이터 분석 연구·R&D(연구원/R&D) 모집,입사지원,"AI(인공지능), 연구원, R&D, 기술연구, 소프트웨어개발",서울광진구,경력무관,대졸↑,정규직
(주)하카코리아,[하카코리아] 데이터 분석가 채용,입사지원,"머신러닝, Python, 백엔드/서버개발, 크롤링, MySQL",부산해운대구,경력무관,학력무관,정규직
(주)컬리,[컬리] BI팀 데이터 분석가 (Data Analyst),홈페이지 지원,"데이터분석가, 판매",서울강남구,경력5년↑,학력무관,정규직
(주)헤리트,[병역특례] 데이터 분석가 채용,입사지원,"데이터분석가, 데이터엔지니어, 솔루션업체, 소프트웨어개발",경기성남시 분당구,경력무관,석사↑,정규직
(주)온택트헬스,데이터 분석가 채용,입사지원,"데이터분석가, SQL, 데이터 사이언티스트, SI·시스템통합, NI·네트워크통합",서울서대문구,경력2년↑,석사↑,정규직
(주)퓨처그라운드,[데이터 분석가] 윈도우 어플리케이션 개발 및 데이터,입사지원,"데이터분석가, 웹개발, 앱개발, 시스템관리, 솔루션업체",경기성남시 분당구,경력무관,석사↑,정규직·계약직
(재)인프라재난관리진흥원,데이터 분석 및 플랫폼 서비스 기획 연구원 모집,입사지원,"데이터분석가, 데이터엔지니어, 웹기획, 풀스택, 연구원",인천연수구,경력,대졸↑,정규직
쓰리알이노베이션(주),[석박사 연구원] 인지 학습 교육 측정 도구 개발 및 데이터 분석,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 데이터시각화, 데이터마이닝",서울서초구,경력무관,석사↑,기간제·계약직
(주)하림지주,EDW 데이터 분석가 채용,입사지원,"Python, 웹개발, 데이터마이닝, 백엔드/서버개발, SE(시스템엔지니어)",경기전체,경력 5~20년,대졸↑,정규직
111퍼센트(주),데이터 분석가 채용,입사지원,"Python, DBA, DBMS, RDBMS, SQL",서울강남구,경력 5~15년,학력무관,정규직
(주)코아칩스,데이터/신호 분석가 채용,입사지원,"연구원, R&D, 기술연구, 전자파, 전기설계",경기수원시,신입·경력,석사↑,정규직
(주)오디너리크파트너스,아마존 데이터 분석가 경력직,입사지원,"브랜드MD, 온라인MD, AMD, 리빙, 브랜드관리",서울강남구,경력 1~4년,초대졸↑,정규직
콘센트릭스서비스코리아(유),[Catalyst] 데이터 분석가 (과장급),입사지원,"데이터분석가, 데이터분석, GA, AA, IT컨설팅",서울강남구,경력5년↑,학력무관,정규직
(주)풀림,대표 가전제품 전문회사   데이터 분석가 (대리~책임급),입사지원,"데이터분석가, 판매, IT·통신기기판매, 가전·오디오판매",서울강남구,경력3년↑,대졸↑,정규직
굿커리어,그룹계열 가전유통 대기업 // 데이터 분석가 (과장~차장급).,입사지원,"데이터분석가, 데이터분석, 유통업",서울강남구,경력 8~14년,대졸↑,정규직
(주)파인더스,[연구원 모집] 시계열 데이터 신호 분석,입사지원,"기술연구, 실험보조, 기계",경기하남시,경력3년↑,대졸↑,정규직
(주)파인더스,[연구원 모집][구로] 시계열 데이터 신호 분석,입사지원,"기술연구, 실험보조, 기계",서울구로구,경력3년↑,대졸↑,정규직
(주)케이티,2025년 KT 대졸신입 ·석사 채용,홈페이지 지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",서울서초구,신입,대졸↑,정규직
(주)크래프톤,[크래프톤] 2025년 상반기 신입/경력 채용,홈페이지 지원,"데이터분석가, 빅데이터, 데이터엔지니어, 웹개발, 데이터시각화",서울서초구,신입·경력,학력무관,정규직·계약직
(주)엘지씨엔에스,2025년 상반기 신입사원 채용,홈페이지 지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",서울강서구,신입,대졸↑,정규직
(주)에이피알,[인턴/경력] 에이피알(메디큐브/에이프릴스킨 등) 부문별 모집,홈페이지 지원,"데이터분석가, 데이터엔지니어, 영업관리, 영업지원, 영업직",서울송파구,신입·경력,대졸↑,정규직·인턴직
지에스건설(주),2025년 상반기 GS건설 신입사원 모집,홈페이지 지원,"데이터분석가, 빅데이터, 원가관리, 자금관리, 재무기획",서울종로구,신입,대졸↑,정규직
(주)알레르망,2025년 상반기 수시 채용 모집,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 데이터시각화, 데이터마이닝",서울강남구,신입·경력,대졸↑,정규직
(주)우진플라임,㈜우진플라임 부문별 인재채용,입사지원,"데이터분석가, 웹개발, 게임개발, 백엔드/서버개발, 앱개발",충북보은군,신입·경력,학력무관,정규직
(주)아이센스,2025년 신입/경력 수시채용,홈페이지 지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",서울서초구,신입·경력,대졸↑,정규직
(주)켐트로닉스,㈜켐트로닉스 각 사업본부 신입/경력직 채용,입사지원,"데이터분석가, 빅데이터, 기술지원, 백엔드/서버개발, 보안컨설팅",경기성남시 분당구,신입·경력,고졸↑,정규직·계약직
한양디지텍(주),각 부문 신입 및 경력사원 채용,입사지원,"데이터분석가, 데이터엔지니어, Python, 데이터시각화, 데이터마이닝",경기화성시,신입·경력,초대졸↑,정규직
(주)모비젠,"2025년도 상반기 부분별 신입/경력 사원 공개채용 모집(JAVA 웹개발, 서버개발, PM/PL, PMO, 데이터 사이언티스트, 서비스 및 상품 기획, 기술영업, 회계(매출/원가), 제안서 기획 및 관리, 컨텐츠 마케팅(홍보))",입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",경기성남시 수정구,신입·경력,학력무관,정규직
애경케미칼(주),25년 애경케미칼 경력직 채용,홈페이지 지원,"데이터분석가, IR/공시, 대기측정분석사, 로봇엔지니어, 연구원",대전전체,경력,대졸↑,정규직
동아출판(주),동아출판㈜ 2025년 3월 신입/경력사원 채용,입사지원,"데이터분석가, 데이터엔지니어, Python, AI(인공지능), 웹개발",서울영등포구,신입·경력,대졸↑,정규직·계약직
해커스교육그룹,2025년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고,입사지원,"웹개발, 데이터마이닝, 백엔드/서버개발, 앱개발, 웹마스터",서울서초구,신입·경력,학력무관,정규직·계약직
(주)퍼플페퍼,[2025년 상반기] 퍼플페퍼 부문별 대규모 채용,입사지원,"데이터분석가, 웹개발, 백엔드/서버개발, 앱개발, 퍼블리셔",서울마포구,경력,학력무관,정규직
엘에스전선(주),[LS전선] '25년 상반기 채용연계형 인턴 채용,홈페이지 지원,"데이터분석가, 데이터엔지니어, IR/공시, 영업관리, 솔루션기술영업",서울용산구,경력무관,대졸↑,정규직·인턴직
소방청,2025년 청년인턴 채용 시행계획 공고,홈페이지 지원,"문서작성, 비품관리, 사무행정, 사이트관리, 서류관리",세종특별자치시,경력무관,학력무관,인턴직
(주)시몬스,2025년 상반기 각 부문별 신입/경력 채용공고,입사지원,"데이터분석가, 데이터엔지니어, 웹개발, 데이터시각화, 데이터마이닝",서울전체,신입·경력,학력무관,정규직
CJ(주),2025 CJ그룹 신입사원 모집,홈페이지 지원,"빅데이터, 데이터엔지니어, AI(인공지능), 백엔드/서버개발, 정보보안",서울전체,신입,대졸↑,정규직
(주)시아스,(주)시아스 신입 및 경력사원 모집,입사지원,"감사, 전산회계, 회계사, 4대보험, 관리회계",서울송파구,신입·경력,고졸↑,정규직
(주)테크윙,2025년 3월 테크윙 각 부문 채용,홈페이지 지원,"빅데이터, 블록체인, 보안컨설팅, 유지보수, 정보보안",충남아산시,신입·경력,초대졸↑,정규직
(주)세원정공,세원그룹 2025 신입/경력 채용,홈페이지 지원,"데이터엔지니어, 웹개발, 데이터시각화, 데이터마이닝, 기술지원",대구달서구,신입·경력,대졸↑,정규직
케이비아이동국실업(주),KBI동국실업 신입/경력사원 모집,입사지원,"데이터엔지니어, 기술지원, 백엔드/서버개발, 유지보수, SE(시스템엔지니어)",충남아산시,신입·경력,초대졸↑,정규직
대상(주),"대상㈜ 25년 3,4월 신입/경력 모집",홈페이지 지원,"정보보안, 정보통신, 더존, 기업회계, 부가세신고",서울종로구,신입·경력,대졸↑,정규직
(주)녹십자,2025년 상반기 GC녹십자 경력직 공고,홈페이지 지원,"CRA(임상연구원), CRM(임상연구전문가), 보건관리자, 보건의료정보관리사, 의약사무",경기용인시,경력,대졸↑,정규직
부광약품(주),부광약품 각 부문별 신입 및 경력 사원 모집,홈페이지 지원,"인/허가, 영업관리, 영업직, 영업MD, 영업마케팅",서울동작구,신입·경력,대졸↑,정규직
환인제약(주),환인제약(주) 3월 수시채용,홈페이지 지원,"약사, 임상병리사, 임상심리사, CRA(임상연구원), CRM(임상연구전문가)",서울송파구,신입·경력,고졸↑,정규직·계약직
한국인터텍테스팅서비스(주),한국인터텍 각 분야별 직원 모집,입사지원,"사무직, 문서작성, 사무행정, 서류관리, 자료입력",서울성동구,신입·경력,초대졸↑,정규직·계약직
(주)케이티디에스,[kt ds] 2025년 부문별 경력사원 상시채용,홈페이지 지원,"데이터분석가, 빅데이터, 데이터엔지니어, Python, AI(인공지능)",서울서초구,경력2년↑,학력무관,정규직·계약직
(사)한국정보통신진흥협회,한국정보통신진흥협회 2025년 상반기 신규인력 채용,홈페이지 지원,"데이터분석가, 데이터엔지니어, 데이터시각화, 데이터마이닝, 백엔드/서버개발",서울전체,신입·경력,학력무관,계약직
(주)경일게임아이티아카데미,게임회사 취업 연수생 모집(취업연계),입사지원,"데이터분석가, 빅데이터, 머신러닝, AI(인공지능), 웹개발",서울전체,경력무관,학력무관,교육생
청오디피케이(주),도미노피자 각 부문(자회사 포함) 공개 채용,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, Python, 웹개발",서울강남구,신입·경력,학력무관,정규직
(주)한국갤럽조사연구소,[한국갤럽] 각 부문 정규직 모집,입사지원,"데이터분석가, 데이터엔지니어, Python, RDBMS, .NET",서울종로구,신입·경력,학력무관,정규직
한국평가데이터(주),"인사노무, 개인신용평가 모형개발, IT 서비스개발 정규직 채용",홈페이지 지원,"데이터분석가, 빅데이터, 데이터엔지니어, Python, 데이터마이닝",서울영등포구,신입·경력,대졸↑,정규직·인턴직
코스틱폼텍(주),영업팀/품관개발팀(R&D)/재경팀/전산팀/생산팀 채용,입사지원,"솔루션, ERP, SAP, OracleDB, 경리",경기파주시,신입·경력,고졸↑,정규직
(주)해피엘앤비,"㈜해피엘앤비 이천본사, 서울지사 각 분야 신입/경력 채용",입사지원,"감사, 전산회계, 더존, 기업회계, 법인결산",경기이천시,신입·경력,학력무관,정규직
(주)엘지씨엔에스,2025년 상반기 Global 해외 석/박사 채용,홈페이지 지원,"데이터분석가, 빅데이터, 머신러닝, Python, AI(인공지능)",서울강서구,신입,석사↑,정규직
(주)포니링크,"㈜포니링크 IT 사업부, 해외패션사업부, 경영기획본부 등 각 본부 채용",입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",서울영등포구,신입·경력,고졸↑,정규직·계약직
(주)수산아이앤티,[수산그룹]수산INT 개발직군 채용(신입/경력/병역특례),입사지원,"데이터분석가, 데이터엔지니어, 웹개발, 기술지원, 백엔드/서버개발",서울강남구,신입·경력,대졸↑,정규직·병역특례
(주)대륜,홍보마케팅팀 부문별 채용,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 검색엔진, 문서작성",서울영등포구,신입·경력,대졸↑,정규직·계약직
(주)피아이이,㈜피아이이 상반기 경력사원 공개채용,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",경기화성시,경력,초대졸↑,정규직
(주)리스큐어바이오사이언시스,(주)리스큐어바이오사이언시스 상반기 공개채용,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, Python, 앱개발",경기성남시,신입·경력,대졸↑,정규직
이에이트(주),[코스닥 상장사] 이에이트 신입 및 경력 채용,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 딥러닝, Python",서울송파구,신입·경력,학력무관,정규직·전문연구요원
(주)푸드테크,㈜푸드테크 상반기 신입/경력 전부문 채용,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, Python, 웹개발",서울강남구,신입·경력,초대졸↑,정규직
드림마크원(주),2025년 신입/경력사원 채용,입사지원,"데이터분석가, 빅데이터, 머신러닝, Python, 보안컨설팅",서울구로구,신입·경력,학력무관,정규직
(주)제이슨,[안랩/제이슨] 빅데이터/영업/PM/엔지니어,접수방법 확인,"데이터분석가, 빅데이터, 머신러닝, Python, 웹개발",서울마포구,경력,대졸↑,정규직
(주)세종분석연구원,입찰분석연구원 외 각 부문별 신입 및 경력사원 모집,입사지원,"데이터분석가, 데이터엔지니어, 웹개발, 기술지원, 백엔드/서버개발",서울마포구,신입·경력,학력무관,정규직·파트
(주)메디씽큐,25년 각 부문 신입 및 경력 채용,입사지원,"데이터분석가, 데이터엔지니어, 머신러닝, 딥러닝, Python",경기성남시,신입·경력,초대졸↑,정규직
한국쓰리엠(주),[3M] 한국쓰리엠 신입/경력사원 모집 안내,홈페이지 지원,"빅데이터, 머신러닝, AI(인공지능), 데이터마이닝, DBA",서울영등포구,신입·경력,대졸↑,정규직·계약직
케이투코리아(주),[케이투코리아그룹] 3월 각 부문 신입/경력사원 채용,홈페이지 지원,"감사, 기업회계, 내부감사, 세무회계, 원가회계",서울강남구,신입·경력,대졸↑,정규직
대한조선(주),2025년 상반기 경력사원 모집,접수방법 확인,"데이터엔지니어, 보안컨설팅, 유지보수, 정보보안, SE(시스템엔지니어)",전남해남군,경력,초대졸↑,정규직
(주)신지모루,25년 3월 각 부문별 신입/경력사원 채용,입사지원,"채용담당자, ER(노무관리), HR컨설팅, 급여(Payroll), 복리후생",서울마포구,신입·경력,초대졸↑,정규직
(주)교동식품,[교동식품] 부문별 채용 (마케팅/연구원/설비관리),입사지원,"연구원, 생명과학, 식품연구, 임상개발, 임상시험",충북옥천군,신입·경력,초대졸↑,정규직
(주)디알젬,본사 각 부문별 채용,입사지원,"머신러닝, Python, AI(인공지능), 앱개발, QA/테스터",경기광명시,신입·경력,초대졸↑,정규직
앤시스코리아유한책임회사,각 부문 경력사원 채용,홈페이지 지원,"Python, 기술지원, 유지보수, S/W, C++",서울중구,경력,대졸↑,정규직
(주)덕산테코피아,각 사업부별 우수인재 모집,입사지원,"기술지원, 보안컨설팅, 정보보안, SE(시스템엔지니어), .NET",충남천안시 동남구,신입·경력,고졸↑,정규직
(주)콘텐트리중앙,콘텐트리중앙 각 부문 경력직 채용,홈페이지 지원,"백엔드/서버개발, 솔루션, 인프라, 클라우드, DBMS",서울마포구,경력,대졸↑,정규직
(주)나노텍,‘소부장 으뜸기업' ㈜나노텍 각 부문 채용,입사지원,"AI(인공지능), 유지보수, SE(시스템엔지니어), 미들웨어, 임베디드",경기용인시,신입·경력,학력무관,정규직
에빈코리아(유),"경영지원/K뷰티상품기획/구매개발/해외온라인(아마존,그외)/영상PD 및 작가/온라인MD 및 마케팅",입사지원,"더존, 계산서발행, 법인결산, 법인세신고, 세무기장",서울강남구,신입·경력,학력무관,정규직·인턴직
디만트코리아(주),덴마크 의료기기 대표 기업 2025년 상반기 공개 채용,입사지원,"웹개발, 백엔드/서버개발, 정보보안, 네트워크, API",서울중구,신입·경력,초대졸↑,정규직·계약직
